start,end,value
2020-03-02 01:10:00,2020-03-02 01:47:00,14
2020-03-02 01:47:00,2020-03-02 05:35:00,15
2020-03-02 05:35:00,2020-03-02 11:12:00,14
2020-03-02 11:12:00,2020-03-02 11:45:00,13
2020-03-02 11:45:00,2020-03-02 15:47:00,12
2020-03-02 15:47:00,2020-03-02 18:41:00,13
2020-03-02 18:41:00,2020-03-02 18:59:00,14
2020-03-02 18:59:00,2020-03-02 21:11:00,15
2020-03-02 21:11:00,2020-03-02 23:33:00,16
2020-03-02 23:33:00,2020-03-03 04:47:00,15
2020-03-03 04:47:00,2020-03-03 05:23:00,16
2020-03-03 05:23:00,2020-03-03 12:16:00,17
2020-03-03 12:16:00,2020-03-03 12:39:00,16
2020-03-03 12:39:00,2020-03-03 14:49:00,15
2020-03-03 14:49:00,2020-03-04 00:26:00,14
2020-03-04 00:26:00,2020-03-04 02:36:00,13
2020-03-04 02:36:00,2020-03-04 06:27:00,12
2020-03-04 06:27:00,2020-03-04 08:47:00,11
2020-03-04 08:47:00,2020-03-04 08:59:00,10
2020-03-04 08:59:00,2020-03-04 13:35:00,11
2020-03-04 13:35:00,2020-03-04 19:53:00,12
2020-03-04 19:53:00,2020-03-05 00:24:00,13
2020-03-05 00:24:00,2020-03-05 03:23:00,12
2020-03-05 03:23:00,2020-03-05 04:41:00,13
2020-03-05 04:41:00,2020-03-05 07:11:00,12
2020-03-05 07:11:00,2020-03-05 13:17:00,13
2020-03-05 13:17:00,2020-03-05 15:59:00,12
2020-03-05 15:59:00,2020-03-05 18:56:00,13
2020-03-05 18:56:00,2020-03-05 19:23:00,12
2020-03-05 19:23:00,2020-03-05 22:22:00,13
2020-03-05 22:22:00,2020-03-06 08:07:00,12
2020-03-06 08:07:00,2020-03-06 10:23:00,11
2020-03-06 10:23:00,2020-03-06 10:29:00,12
2020-03-06 10:29:00,2020-03-06 17:29:00,13
2020-03-06 17:29:00,2020-03-06 20:47:00,14
2020-03-06 20:47:00,2020-03-06 21:35:00,15
2020-03-06 21:35:00,2020-03-06 22:17:00,16
2020-03-06 22:17:00,2020-03-07 02:53:00,15
2020-03-07 02:53:00,2020-03-07 03:23:00,14
2020-03-07 03:23:00,2020-03-07 04:35:00,15
2020-03-07 04:35:00,2020-03-07 05:39:00,16
2020-03-07 05:39:00,2020-03-07 09:48:00,15
2020-03-07 09:48:00,2020-03-07 15:42:00,14
2020-03-07 15:42:00,2020-03-07 17:58:00,13
2020-03-07 17:58:00,2020-03-07 18:23:00,12
2020-03-07 18:23:00,2020-03-07 23:47:00,13
2020-03-07 23:47:00,2020-03-08 06:38:00,12
2020-03-08 06:38:00,2020-03-08 08:41:00,11
2020-03-08 08:41:00,2020-03-08 09:29:00,12
2020-03-08 09:29:00,2020-03-08 17:02:00,13
2020-03-08 17:02:00,2020-03-08 17:25:00,12
2020-03-08 17:25:00,2020-03-08 18:17:00,11
2020-03-08 18:17:00,2020-03-09 01:47:00,12
2020-03-09 01:47:00,2020-03-09 04:16:00,13
2020-03-09 04:16:00,2020-03-09 05:40:00,12
2020-03-09 05:40:00,2020-03-09 08:00:00,11
2020-03-09 08:00:00,2020-03-09 10:37:00,10
2020-03-09 10:37:00,2020-03-09 11:47:00,9
2020-03-09 11:47:00,2020-03-09 12:17:00,10
2020-03-09 12:17:00,2020-03-09 17:23:00,11
2020-03-09 17:23:00,2020-03-09 18:53:00,10
2020-03-09 18:53:00,2020-03-10 03:35:00,11
2020-03-10 03:35:00,2020-03-10 18:26:00,12
2020-03-10 18:26:00,2020-03-11 01:29:00,11
2020-03-11 01:29:00,2020-03-11 06:31:00,10
2020-03-11 06:31:00,2020-03-11 08:29:00,9
2020-03-11 08:29:00,2020-03-11 12:50:00,10
2020-03-11 12:50:00,2020-03-11 17:41:00,9
2020-03-11 17:41:00,2020-03-11 18:30:00,10
2020-03-11 18:30:00,2020-03-12 02:29:00,9
2020-03-12 02:29:00,2020-03-12 02:35:00,10
2020-03-12 02:35:00,2020-03-12 06:02:00,11
2020-03-12 06:02:00,2020-03-12 07:17:00,10
2020-03-12 07:17:00,2020-03-12 08:23:00,11
2020-03-12 08:23:00,2020-03-12 19:29:00,12
2020-03-12 19:29:00,2020-03-12 19:50:00,13
2020-03-12 19:50:00,2020-03-12 21:05:00,12
2020-03-12 21:05:00,2020-03-12 21:11:00,13
2020-03-12 21:11:00,2020-03-13 04:17:00,14
2020-03-13 04:17:00,2020-03-13 05:43:00,15
2020-03-13 05:43:00,2020-03-13 08:08:00,14
2020-03-13 08:08:00,2020-03-13 14:07:00,13
2020-03-13 14:07:00,2020-03-13 15:59:00,12
2020-03-13 15:59:00,2020-03-13 20:24:00,13
2020-03-13 20:24:00,2020-03-13 20:57:00,12
2020-03-13 20:57:00,2020-03-13 22:59:00,11
