Time	Open	High	Low	Close	Volume
2018-11-20 11:00:00	1.77042	1.77095	1.76545	1.76554	13618
2018-11-20 12:00:00	1.76549	1.76802	1.76456	1.76701	14948
2018-11-20 13:00:00	1.76701	1.76784	1.76493	1.7675	14510
2018-11-20 14:00:00	1.7675	1.7698	1.76543	1.76952	18898
2018-11-20 15:00:00	1.76955	1.77303	1.76481	1.76636	20923
2018-11-20 16:00:00	1.76636	1.76968	1.76556	1.7676	16001
2018-11-20 17:00:00	1.76761	1.7694	1.76715	1.76771	12625
2018-11-20 18:00:00	1.76796	1.7718	1.76688	1.76952	12796
2018-11-20 19:00:00	1.76955	1.77125	1.76949	1.77119	10319
2018-11-20 20:00:00	1.77122	1.77173	1.77034	1.77065	12030
2018-11-20 21:00:00	1.7706	1.77269	1.77034	1.77243	4426
2018-11-20 22:00:00	1.77244	1.77495	1.77091	1.77456	5105
2018-11-20 23:00:00	1.77465	1.77484	1.77171	1.77174	6374
2018-11-21 00:00:00	1.77174	1.77283	1.77031	1.77283	6086
2018-11-21 01:00:00	1.77282	1.77331	1.7687	1.76887	7931
2018-11-21 02:00:00	1.76884	1.7702	1.76795	1.76892	7876
2018-11-21 03:00:00	1.76893	1.76907	1.76729	1.76732	5853
2018-11-21 04:00:00	1.76728	1.76872	1.76724	1.76811	4108
2018-11-21 05:00:00	1.7681	1.76981	1.76772	1.76957	8584
2018-11-21 06:00:00	1.76961	1.77007	1.76886	1.76925	8764
2018-11-21 07:00:00	1.76927	1.77109	1.76816	1.76898	11524
2018-11-21 08:00:00	1.76898	1.77095	1.76615	1.7664	12453
2018-11-21 09:00:00	1.76641	1.76753	1.76416	1.7643	11351
2018-11-21 10:00:00	1.76428	1.7682	1.76368	1.76747	14643
2018-11-21 11:00:00	1.76744	1.7699	1.76634	1.7688	15491
2018-11-21 12:00:00	1.76887	1.76946	1.76421	1.7656	13967
2018-11-21 13:00:00	1.7656	1.76626	1.76102	1.76103	14498
2018-11-21 14:00:00	1.76102	1.76339	1.7591	1.75919	14047
2018-11-21 15:00:00	1.75913	1.76243	1.75807	1.75997	16139
2018-11-21 16:00:00	1.75999	1.76012	1.75595	1.75776	13415
2018-11-21 17:00:00	1.75776	1.76005	1.75722	1.75954	9672
2018-11-21 18:00:00	1.75955	1.76067	1.75812	1.75938	9513
2018-11-21 19:00:00	1.75938	1.7609	1.75864	1.75933	9258
2018-11-21 20:00:00	1.75941	1.75965	1.75868	1.75895	5915
2018-11-21 21:00:00	1.75897	1.75955	1.75835	1.75896	2195
2018-11-21 22:00:00	1.75858	1.75926	1.7573	1.75895	3546
2018-11-21 23:00:00	1.75896	1.76032	1.75859	1.75913	5023
2018-11-22 00:00:00	1.75912	1.75967	1.75801	1.75937	4631
2018-11-22 01:00:00	1.75935	1.7624	1.75924	1.76205	5347
2018-11-22 02:00:00	1.76205	1.76322	1.76063	1.76287	5986
2018-11-22 03:00:00	1.76288	1.76331	1.76242	1.76254	4554
2018-11-22 04:00:00	1.76252	1.76435	1.76241	1.76282	5507
2018-11-22 05:00:00	1.76282	1.76335	1.76226	1.76317	5541
2018-11-22 06:00:00	1.76317	1.76442	1.76266	1.76276	6328
2018-11-22 07:00:00	1.76277	1.76555	1.76226	1.76498	8360
2018-11-22 08:00:00	1.76498	1.76676	1.76441	1.76542	10640
2018-11-22 09:00:00	1.76542	1.76639	1.76416	1.76539	9651
2018-11-22 10:00:00	1.7654	1.78159	1.76537	1.77831	20544
2018-11-22 11:00:00	1.77831	1.77915	1.76447	1.77492	15352
2018-11-22 12:00:00	1.77491	1.77634	1.77166	1.77609	15360
2018-11-22 13:00:00	1.77611	1.77619	1.77325	1.77478	9390
2018-11-22 14:00:00	1.77478	1.7788	1.77416	1.77749	9493
2018-11-22 15:00:00	1.77746	1.77834	1.77239	1.77616	13529
2018-11-22 16:00:00	1.77611	1.77672	1.77441	1.77563	12973
2018-11-22 17:00:00	1.77563	1.77581	1.774	1.77413	7857
2018-11-22 18:00:00	1.77409	1.77618	1.77267	1.77529	9819
2018-11-22 19:00:00	1.77528	1.77541	1.77438	1.77477	4125
2018-11-22 20:00:00	1.77477	1.77607	1.77358	1.77581	3474
2018-11-22 21:00:00	1.77585	1.77595	1.77382	1.77468	4530
2018-11-22 22:00:00	1.77462	1.77625	1.77396	1.77585	2355
2018-11-22 23:00:00	1.77599	1.77622	1.77486	1.77582	5008
2018-11-23 00:00:00	1.77581	1.77621	1.77493	1.77514	4498
2018-11-23 01:00:00	1.77514	1.77629	1.77459	1.77603	4910
2018-11-23 02:00:00	1.77601	1.77681	1.77524	1.77561	6050
2018-11-23 03:00:00	1.77561	1.77666	1.77542	1.77555	7101
2018-11-23 04:00:00	1.77558	1.77672	1.77528	1.77643	6036
2018-11-23 05:00:00	1.77642	1.77734	1.77587	1.77642	6724
2018-11-23 06:00:00	1.77642	1.77665	1.77504	1.77657	7370
2018-11-23 07:00:00	1.77658	1.77718	1.77507	1.77571	10281
2018-11-23 08:00:00	1.77571	1.77578	1.77246	1.77403	15274
2018-11-23 09:00:00	1.77401	1.7754	1.77307	1.77497	13264
2018-11-23 10:00:00	1.77497	1.77778	1.77467	1.77739	13325
2018-11-23 11:00:00	1.77739	1.77742	1.77212	1.77483	14157
2018-11-23 12:00:00	1.7748	1.7763	1.77309	1.77416	14871
2018-11-23 13:00:00	1.77413	1.77597	1.77392	1.77512	14379
2018-11-23 14:00:00	1.77513	1.77526	1.773	1.77369	14775
2018-11-23 15:00:00	1.7737	1.77459	1.77033	1.77116	13945
2018-11-23 16:00:00	1.77112	1.77224	1.77067	1.77209	14202
2018-11-23 17:00:00	1.77207	1.77319	1.77058	1.77126	8136
2018-11-23 18:00:00	1.77127	1.77295	1.77042	1.77212	6896
2018-11-23 19:00:00	1.77212	1.77243	1.77077	1.77225	3820
2018-11-23 20:00:00	1.77224	1.77362	1.76952	1.77176	8786
2018-11-23 21:00:00	1.77176	1.77259	1.76848	1.76874	4228
2018-11-25 22:00:00	1.77316	1.77436	1.77095	1.7712	1489
2018-11-25 23:00:00	1.77141	1.77317	1.77049	1.77139	7999
2018-11-26 00:00:00	1.77142	1.77218	1.77017	1.77103	7012
2018-11-26 01:00:00	1.77103	1.77199	1.76916	1.76997	8863
2018-11-26 02:00:00	1.77002	1.77057	1.76875	1.76891	5412
2018-11-26 03:00:00	1.76888	1.76911	1.76711	1.76835	6628
2018-11-26 04:00:00	1.76833	1.76944	1.76767	1.76781	6359
2018-11-26 05:00:00	1.76786	1.76845	1.76711	1.7683	6718
2018-11-26 06:00:00	1.76831	1.76866	1.76676	1.76687	7593
2018-11-26 07:00:00	1.76687	1.76796	1.76432	1.76443	14120
2018-11-26 08:00:00	1.7644	1.76766	1.76433	1.76697	17907
2018-11-26 09:00:00	1.76703	1.76781	1.76413	1.76442	15185
2018-11-26 10:00:00	1.76442	1.76893	1.76436	1.76835	13365
2018-11-26 11:00:00	1.76835	1.77135	1.76816	1.77131	11386
2018-11-26 12:00:00	1.77122	1.7715	1.76844	1.77147	10292
2018-11-26 13:00:00	1.77147	1.77385	1.77033	1.77372	13360
2018-11-26 14:00:00	1.77373	1.7742	1.77096	1.77262	13041
2018-11-26 15:00:00	1.77259	1.77392	1.77139	1.77271	13268
2018-11-26 16:00:00	1.77279	1.77316	1.77092	1.77137	12442
2018-11-26 17:00:00	1.77137	1.77331	1.77077	1.77275	6728
2018-11-26 18:00:00	1.77278	1.77404	1.77183	1.77326	7929
2018-11-26 19:00:00	1.77329	1.77357	1.77187	1.77217	5923
2018-11-26 20:00:00	1.77217	1.77232	1.77139	1.77205	6955
2018-11-26 21:00:00	1.77204	1.7755	1.7715	1.77315	6545
2018-11-26 22:00:00	1.77326	1.77522	1.77318	1.775	7522
2018-11-26 23:00:00	1.77502	1.77542	1.77363	1.77366	5337
2018-11-27 00:00:00	1.77366	1.77456	1.7727	1.77412	5134
2018-11-27 01:00:00	1.77406	1.77519	1.77381	1.77442	7699
2018-11-27 02:00:00	1.77442	1.7748	1.77345	1.77449	5830
2018-11-27 03:00:00	1.77449	1.77449	1.77212	1.77337	7668
2018-11-27 04:00:00	1.77337	1.77347	1.77207	1.77285	7258
2018-11-27 05:00:00	1.77283	1.7729	1.77061	1.77087	8063
2018-11-27 06:00:00	1.77084	1.77096	1.76557	1.76632	8934
2018-11-27 07:00:00	1.76632	1.76654	1.75752	1.76386	18592
2018-11-27 08:00:00	1.76398	1.76404	1.7607	1.76331	16638
2018-11-27 09:00:00	1.76333	1.76407	1.76222	1.76265	15448
2018-11-27 10:00:00	1.76265	1.76449	1.76195	1.76272	16270
2018-11-27 11:00:00	1.76272	1.76288	1.75964	1.76044	14827
2018-11-27 12:00:00	1.76041	1.76174	1.75862	1.76024	12486
2018-11-27 13:00:00	1.76028	1.76419	1.75997	1.76353	14834
2018-11-27 14:00:00	1.76353	1.76532	1.76249	1.76418	15443
2018-11-27 15:00:00	1.76418	1.76556	1.76272	1.76414	16831
2018-11-27 16:00:00	1.76409	1.76726	1.7637	1.76649	13733
2018-11-27 17:00:00	1.76648	1.7682	1.76601	1.76797	9939
2018-11-27 18:00:00	1.76797	1.76797	1.76423	1.76435	10985
2018-11-27 19:00:00	1.76431	1.76479	1.76181	1.76278	8552
2018-11-27 20:00:00	1.76279	1.7629	1.76127	1.76158	7769
2018-11-27 21:00:00	1.76158	1.76406	1.76105	1.76365	4566
2018-11-27 22:00:00	1.76361	1.76362	1.7615	1.76292	5249
2018-11-27 23:00:00	1.76291	1.76319	1.76187	1.7626	6722
2018-11-28 00:00:00	1.7626	1.76283	1.76067	1.7619	5700
2018-11-28 01:00:00	1.76193	1.76298	1.7618	1.76247	5237
2018-11-28 02:00:00	1.7625	1.76264	1.76099	1.76121	5753
2018-11-28 03:00:00	1.76118	1.76138	1.76052	1.76124	6146
2018-11-28 04:00:00	1.76121	1.76206	1.76044	1.76123	6048
2018-11-28 05:00:00	1.76121	1.76269	1.76115	1.76129	5971
2018-11-28 06:00:00	1.76129	1.76262	1.76051	1.76262	7026
2018-11-28 07:00:00	1.76258	1.76287	1.76094	1.76217	9830
2018-11-28 08:00:00	1.76222	1.76427	1.76112	1.7636	12382
2018-11-28 09:00:00	1.7636	1.76492	1.76216	1.76361	13484
2018-11-28 10:00:00	1.76359	1.76792	1.76359	1.76757	11758
2018-11-28 11:00:00	1.76755	1.76917	1.76615	1.76801	12867
2018-11-28 12:00:00	1.76801	1.7684	1.76625	1.76756	13315
2018-11-28 13:00:00	1.76756	1.76817	1.76466	1.76554	11381
2018-11-28 14:00:00	1.76555	1.76729	1.76394	1.76726	12280
2018-11-28 15:00:00	1.76734	1.76819	1.76332	1.76568	14735
2018-11-28 16:00:00	1.76566	1.76576	1.76171	1.76485	12287
